iter	Passed	Remaining
0	233	233476
1	306	152749
2	384	127646
3	467	116387
4	549	109434
5	633	104909
6	718	101928
7	790	98048
8	872	96096
9	951	94240
10	1037	93253
11	1121	92312
12	1153	87595
13	1234	86977
14	1320	86728
15	1404	86363
16	1483	85767
17	1560	85134
18	1638	84623
19	1723	84436
20	1805	84154
21	1881	83624
22	1969	83681
23	2052	83451
24	2104	82071
25	2187	81958
26	2266	81678
27	2342	81323
28	2416	80898
29	2501	80880
30	2580	80668
31	2659	80449
32	2738	80240
33	2819	80119
34	2904	80094
35	2991	80102
36	3080	80167
37	3153	79825
38	3234	79712
39	3308	79414
40	3392	79354
41	3462	78975
42	3543	78862
43	3621	78683
44	3699	78520
45	3793	78670
46	3875	78580
47	3957	78493
48	4042	78462
49	4120	78286
50	4202	78193
51	4287	78164
52	4368	78056
53	4446	77889
54	4520	77670
55	4603	77605
56	4684	77496
57	4766	77410
58	4851	77370
59	4934	77304
60	5016	77224
61	5094	77069
62	5176	76987
63	5257	76888
64	5333	76717
65	5414	76627
66	5496	76534
67	5574	76404
68	5651	76256
69	5733	76172
70	5814	76080
71	5888	75895
72	5968	75785
73	6045	75648
74	6119	75474
75	6194	75316
76	6270	75168
77	6351	75078
78	6430	74968
79	6515	74933
80	6594	74815
81	6677	74760
82	6758	74673
83	6835	74538
84	6917	74467
85	6995	74343
86	7067	74168
87	7144	74047
88	7234	74055
89	7305	73863
90	7379	73712
91	7462	73650
92	7544	73574
93	7616	73409
94	7691	73271
95	7768	73157
96	7844	73031
97	7922	72916
98	8000	72814
99	8081	72732
100	8158	72614
101	8233	72489
102	8310	72371
103	8387	72261
104	8469	72191
105	8548	72101
106	8628	72008
107	8704	71891
108	8781	71781
109	8858	71676
110	8939	71594
111	9019	71515
112	9108	71494
113	9198	71492
114	9280	71418
115	9358	71314
116	9437	71225
117	9525	71200
118	9608	71132
119	9690	71066
120	9775	71015
121	9862	70976
122	9939	70872
123	10023	70810
124	10111	70783
125	10199	70751
126	10279	70664
127	10361	70584
128	10443	70512
129	10523	70428
130	10599	70312
131	10685	70262
132	10771	70214
133	10863	70206
134	10958	70217
135	11049	70195
136	11135	70147
137	11223	70104
138	11313	70081
139	11403	70047
140	11493	70019
141	11576	69949
142	11659	69877
143	11743	69810
144	11841	69822
145	11924	69747
146	12010	69694
147	12091	69609
148	12173	69529
149	12255	69445
150	12348	69427
151	12432	69361
152	12524	69332
153	12606	69253
154	12692	69196
155	12773	69108
156	12857	69037
157	12950	69012
158	13036	68954
159	13125	68909
160	13216	68874
161	13312	68862
162	13397	68794
163	13482	68728
164	13566	68653
165	13661	68636
166	13742	68549
167	13818	68435
168	13891	68305
169	13968	68199
170	14044	68086
171	14120	67976
172	14192	67842
173	14270	67743
174	14343	67617
175	14411	67471
176	14489	67369
177	14565	67262
178	14644	67166
179	14716	67043
180	14797	66958
181	14879	66877
182	14959	66787
183	15037	66688
184	15108	66557
185	15183	66446
186	15258	66338
187	15331	66218
188	15403	66097
189	15484	66012
190	15561	65910
191	15642	65827
192	15717	65719
193	15791	65607
194	15866	65499
195	15943	65399
196	16019	65295
197	16091	65178
198	16166	65073
199	16241	64967
200	16313	64849
201	16393	64762
202	16476	64689
203	16553	64590
204	16633	64506
205	16709	64402
206	16789	64318
207	16866	64222
208	16941	64118
209	17018	64021
210	17099	63940
211	17180	63858
212	17254	63752
213	17331	63656
214	17409	63564
215	17486	63468
216	17559	63359
217	17632	63252
218	17708	63152
219	17788	63067
220	17869	62987
221	17950	62906
222	18028	62815
223	18109	62736
224	18189	62651
225	18263	62548
226	18336	62440
227	18414	62351
228	18489	62251
229	18560	62138
230	18638	62046
231	18715	61953
232	18785	61840
233	18864	61754
234	18938	61649
235	19009	61538
236	19085	61442
237	19163	61354
238	19236	61249
239	19309	61146
240	19380	61037
241	19456	60941
242	19531	60846
243	19601	60733
244	19676	60635
245	19747	60525
246	19821	60426
247	19895	60327
248	19969	60228
249	20045	60136
250	20125	60054
251	20199	59956
252	20276	59869
253	20356	59787
254	20439	59715
255	20510	59609
256	20585	59513
257	20663	59427
258	20737	59329
259	20817	59250
260	20891	59152
261	20972	59074
262	21052	58996
263	21133	58917
264	21207	58821
265	21280	58721
266	21353	58622
267	21425	58519
268	21503	58435
269	21577	58340
270	21649	58238
271	21724	58143
272	21798	58050
273	21872	57954
274	21948	57863
275	22022	57767
276	22099	57682
277	22171	57582
278	22244	57484
279	22318	57389
280	22391	57294
281	22472	57216
282	22549	57129
283	22629	57051
284	22706	56966
285	22784	56881
286	22857	56785
287	22929	56685
288	23001	56587
289	23081	56510
290	23157	56420
291	23233	56332
292	23305	56234
293	23380	56144
294	23455	56053
295	23528	55959
296	23604	55872
297	23677	55776
298	23749	55680
299	23822	55586
300	23898	55497
301	23972	55406
302	24051	55325
303	24121	55224
304	24200	55145
305	24271	55046
306	24344	54954
307	24416	54858
308	24492	54770
309	24561	54668
310	24641	54591
311	24715	54501
312	24789	54410
313	24870	54335
314	24946	54248
315	25017	54152
316	25090	54060
317	25158	53956
318	25229	53859
319	25308	53781
320	25378	53681
321	25451	53589
322	25526	53502
323	25600	53412
324	25677	53330
325	25750	53237
326	25825	53151
327	25898	53060
328	25972	52970
329	26048	52885
330	26120	52792
331	26195	52706
332	26264	52607
333	26337	52516
334	26415	52436
335	26489	52348
336	26562	52258
337	26639	52175
338	26714	52089
339	26787	51998
340	26858	51905
341	26932	51818
342	27006	51728
343	27083	51648
344	27162	51569
345	27237	51484
346	27309	51392
347	27384	51305
348	27461	51224
349	27537	51141
350	27616	51063
351	27691	50977
352	27773	50905
