iter	Passed	Remaining
0	12	12481
1	28	14075
2	42	14159
3	55	13807
4	66	13182
5	76	12597
6	87	12399
7	95	11834
8	104	11464
9	113	11253
10	123	11094
11	132	10885
12	140	10658
13	149	10524
14	157	10357
15	166	10264
16	175	10147
17	183	10025
18	192	9932
19	201	9878
20	213	9942
21	223	9955
22	234	9957
23	242	9848
24	251	9817
25	260	9744
26	269	9726
27	278	9665
28	286	9600
29	295	9563
30	303	9490
31	312	9448
32	321	9406
33	329	9372
34	339	9367
35	349	9362
36	357	9306
37	366	9289
38	374	9238
39	383	9204
40	392	9179
41	400	9145
42	412	9169
43	420	9137
44	431	9162
45	441	9158
46	450	9127
47	459	9116
48	468	9088
49	477	9073
50	485	9042
51	494	9023
52	503	8995
53	512	8973
54	520	8943
55	529	8928
56	537	8893
57	547	8890
58	556	8873
59	564	8847
60	573	8830
61	582	8808
62	591	8796
63	599	8772
64	609	8763
65	617	8743
66	627	8735
67	635	8710
68	645	8709
69	654	8692
70	662	8669
71	671	8653
72	679	8627
73	688	8613
74	696	8589
75	705	8574
76	713	8550
77	723	8554
78	732	8535
79	741	8532
80	751	8529
81	759	8506
82	768	8488
83	776	8468
84	786	8464
85	794	8444
86	804	8444
87	812	8422
88	822	8417
89	830	8397
90	840	8392
91	849	8383
92	858	8374
93	868	8368
94	876	8346
95	884	8331
96	893	8313
97	901	8301
98	909	8278
99	918	8270
100	926	8250
101	935	8236
102	943	8218
103	952	8208
104	960	8188
105	970	8186
106	979	8175
107	988	8161
108	997	8154
109	1005	8136
110	1014	8123
111	1022	8104
112	1031	8096
113	1039	8077
114	1049	8077
115	1058	8063
116	1067	8053
117	1075	8036
118	1083	8024
119	1092	8014
120	1101	8001
121	1110	7991
122	1119	7980
123	1128	7973
124	1136	7958
125	1145	7948
126	1154	7937
127	1164	7933
128	1172	7916
129	1181	7909
130	1193	7914
131	1202	7909
132	1215	7921
133	1224	7913
134	1232	7898
135	1242	7894
136	1251	7884
137	1261	7880
138	1269	7865
139	1279	7857
140	1286	7839
141	1296	7831
142	1304	7820
143	1313	7807
144	1322	7797
145	1330	7782
146	1338	7769
147	1348	7760
148	1357	7753
149	1365	7740
150	1374	7729
151	1382	7714
152	1392	7710
153	1402	7702
154	1410	7691
155	1419	7681
156	1427	7666
157	1436	7654
158	1445	7644
159	1454	7633
160	1462	7619
161	1471	7611
162	1479	7598
163	1489	7593
164	1497	7580
165	1508	7578
166	1517	7567
167	1525	7555
168	1534	7545
169	1543	7534
170	1552	7527
171	1561	7515
172	1571	7510
173	1579	7496
174	1588	7490
175	1598	7482
176	1606	7470
177	1615	7460
178	1623	7447
179	1632	7436
180	1640	7424
181	1657	7447
182	1666	7441
183	1674	7427
184	1684	7419
185	1693	7410
186	1703	7403
187	1712	7398
188	1721	7387
189	1730	7376
190	1738	7365
191	1747	7354
192	1756	7344
193	1765	7336
194	1774	7325
195	1783	7316
196	1792	7305
197	1802	7299
198	1811	7289
199	1819	7276
200	1828	7267
201	1836	7254
202	1845	7244
203	1853	7233
204	1862	7223
205	1872	7216
206	1881	7208
207	1890	7197
208	1899	7188
209	1908	7177
210	1917	7169
211	1925	7158
212	1934	7148
213	1943	7139
214	1952	7128
215	1961	7121
216	1971	7113
217	1981	7107
218	1991	7103
219	1999	7090
220	2008	7081
221	2017	7070
222	2027	7064
223	2035	7051
224	2044	7043
225	2054	7034
226	2063	7025
227	2072	7017
228	2080	7005
229	2089	6995
230	2097	6984
231	2106	6974
232	2115	6962
233	2124	6953
234	2132	6941
235	2141	6933
236	2150	6924
237	2159	6915
238	2169	6906
239	2177	6896
240	2188	6891
241	2196	6881
242	2206	6872
243	2216	6866
244	2225	6857
245	2234	6848
246	2242	6837
247	2251	6828
248	2260	6817
249	2269	6807
250	2277	6797
251	2287	6790
252	2297	6784
253	2307	6775
254	2315	6765
255	2324	6754
256	2333	6744
257	2341	6734
258	2350	6724
259	2360	6718
260	2369	6710
261	2378	6701
262	2387	6690
263	2397	6683
264	2405	6672
265	2415	6664
266	2423	6654
267	2432	6644
268	2440	6632
269	2451	6627
270	2460	6619
271	2469	6608
272	2478	6599
273	2486	6589
274	2495	6579
275	2504	6569
276	2513	6559
277	2521	6548
278	2530	6539
